ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total,ranking_dinero
1,311001065489,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC CAMPO DAVID,Privado,A,25,25,4,386,20,9.609670639,9.006509781,8.959478378,481,445,434,87.30,91.92,95.07,91.43,78.2
2,311001105430,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LA COLINA                                                                                       ,Privado,B,22,22,20,372,28,8.482491493,9.367835999,9.323954582,479.5,480,455.5,89.35,90.58,93.00,90.98,75.6
3,315001001842,TUNJA,BOYACA,COLEGIO LOS ÁNGELES,Privado,A,47,46,33,365,23,9.442520142,9.443507195,8.9174757,465.5,434.5,424,84.45,92.68,93.95,90.36,73.6
4,376001013441,CALI,VALLE,COLEGIO BILINGUE DIANA OESE,Privado,B,48,48,3,389,28,9.794955254,8.785610199,8.500076294,471,442,438,87.00,90.27,93.29,90.18,78.6
5,408433075713,MALAMBO,ATLANTICO,CENTRO EDUCATIVO OASIS DE FE,Privado,A,3,3,3645,260,10,0,0,0,441.5,483.5,496,84.05,0.00,96.30,90.17,51.6
6,311769003342,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LOS NOGALES,Privado,B,60,59,18,372,23,9.74009037,8.356338501,8.074432373,468,461.5,460,88.08,87.24,94.08,89.80,76
7,425377076576,LA CALERA,CUNDINAMARCA,COL DE  CAMBRIDGE,Privado,A,51,51,188,342,30,9.13007164,9.459846497,9.285360336,450,446,450,84.40,92.92,91.94,89.75,69.4
8,311848002424,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN CARLOS                                                                                      ,Privado,B,101,97,11,376,26,9.66784668,8.356513977,8.364676476,467,462.5,443.5,87.45,87.96,93.28,89.56,76.6
9,425758800009,SOPÓ,CUNDINAMARCA,COL CAMPOALEGRE LTDA,Privado,B,23,23,28,366,26,0,0,0,449.5,439.5,454.5,85.48,0.00,93.37,89.42,75
10,311001076634,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVO COLOMBO AMERICANO,Privado,A,64,64,9,378,26,9.485933304,8.511089325,8.486614227,462,446,439.5,86.28,88.28,93.56,89.37,76.6
11,368001000516,FLORIDABLANCA,SANTANDER,COL NUEVO CAMBRIDGE,Privado,B,47,47,2,400,29,8.70405674,8.913977623,8.380209923,470.5,443,436,87.48,86.66,93.24,89.13,80.6
12,311001086320,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,Privado,A,67,67,10,376,25,9.445204735,8.344333649,8.2208395,470,443.5,420.5,85.50,86.70,93.77,88.66,76.8
13,311769000165,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN JORGE DE INGLATERRA,Privado,B,78,77,6,383,25,8.640644073,8.404416084,8.443443298,463.5,455,439.5,87.05,84.96,93.79,88.60,77.8
14,368276000826,FLORIDABLANCA,SANTANDER,COL LA QUINTA DEL PUENTE,Privado,B,19,19,1,401,32,8.594468117,8.882110596,8.421165466,476,432.5,426,86.78,86.33,92.61,88.57,80.6
15,311848000308,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANGLO AMERICANO,Privado,A,179,179,15,374,24,9.351020813,8.360405922,8.097045898,460.5,440.5,431.5,85.33,86.03,93.97,88.44,76
16,311769001781,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ABRAHAM LINCOLN,Privado,B,70,70,26,368,26,8.322638512,8.47458744,8.738583565,464.5,454.5,443.5,86.53,85.12,93.40,88.35,74.8
17,305001015503,ENVIGADO,ANTIOQUIA,COLEGIO LEONARDO DA VINCI,Privado,B,6,6,23,370,19,8.745437622,0,0,0,459.5,404.5,82.27,87.45,95.12,88.28,75.2
18,425175032666,CHÍA,CUNDINAMARCA,GIMNASIO EL HONTANAR,Privado,A,46,46,40,363,28,9.322766304,8.514530182,8.218570709,461,452.5,426,85.13,86.85,92.84,88.27,74.4
19,373001007662,IBAGUÉ,TOLIMA,COL  SAN BONIFACIO DE LAS LANZAS,Privado,A,47,47,32,365,22,9.39997673,8.281699181,8.211378098,450,421.5,434.5,83.55,86.31,94.32,88.06,74.4
20,311769003938,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING BUCKINGHAM,Privado,B,41,41,43,361,22,8.442985535,8.109025955,8.689127922,462,452,439,85.70,84.14,94.26,88.03,73.6
21,311001089221,BOGOTÁ D.C.,BOGOTÁ D.C.,INST ALBERTO MERANI,Privado,A,30,30,8,380,18,9.406621933,8.373463631,8.046181679,450.5,423.5,394.5,82.43,86.09,95.48,88.00,76.6
