departamento,municipio
AMAZONAS,LETICIA
AMAZONAS,MIRITÍ - PARANÁ
AMAZONAS,TARAPACÁ
AMAZONAS,LA CHORRERA
AMAZONAS,PUERTO NARIÑO
AMAZONAS,EL ENCANTO
AMAZONAS,LA PEDRERA
ANTIOQUIA,OLAYA
ANTIOQUIA,CAROLINA
ANTIOQUIA,PUERTO TRIUNFO
ANTIOQUIA,GIRARDOTA
ANTIOQUIA,CÁCERES
ANTIOQUIA,AMALFI
ANTIOQUIA,YALÍ
ANTIOQUIA,SABANETA
ANTIOQUIA,AMAGÁ
ANTIOQUIA,VALDIVIA
ANTIOQUIA,COPACABANA
ANTIOQUIA,CAUCASIA
ANTIOQUIA,PEÑOL
ANTIOQUIA,TITIRIBÍ
ANTIOQUIA,SAN PEDRO DE URABÁ
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS
ANTIOQUIA,SAN ROQUE
ANTIOQUIA,ANZÁ
ANTIOQUIA,ANGOSTURA
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA
ANTIOQUIA,TÁMESIS
ANTIOQUIA,MEDELLÍN
ANTIOQUIA,PUEBLORRICO
ANTIOQUIA,PEQUE
ANTIOQUIA,GUARNE
ANTIOQUIA,BELLO
ANTIOQUIA,APARTADÓ
ANTIOQUIA,SONSÓN
ANTIOQUIA,SANTO DOMINGO
ANTIOQUIA,MONTEBELLO
ANTIOQUIA,EL CARMEN DE VIBORAL
ANTIOQUIA,SEGOVIA
ANTIOQUIA,YARUMAL
ANTIOQUIA,CAICEDO
ANTIOQUIA,ZARAGOZA
ANTIOQUIA,LA CEJA
ANTIOQUIA,EL BAGRE
ANTIOQUIA,GÓMEZ PLATA
ANTIOQUIA,CISNEROS
ANTIOQUIA,FREDONIA
ANTIOQUIA,NECHÍ
ANTIOQUIA,SAN JERÓNIMO
ANTIOQUIA,JARDÍN
ANTIOQUIA,ITUANGO
ANTIOQUIA,EL SANTUARIO
ANTIOQUIA,CARAMANTA
ANTIOQUIA,CARACOLÍ
ANTIOQUIA,COCORNÁ
ANTIOQUIA,BURITICÁ
ANTIOQUIA,SAN RAFAEL
ANTIOQUIA,TARSO
ANTIOQUIA,DONMATÍAS
ANTIOQUIA,ANDES
ANTIOQUIA,CAÑASGORDAS
ANTIOQUIA,BETANIA
ANTIOQUIA,REMEDIOS
ANTIOQUIA,SAN VICENTE FERRER
ANTIOQUIA,PUERTO NARE
ANTIOQUIA,ENVIGADO
ANTIOQUIA,ITAGÜÍ
ANTIOQUIA,GIRALDO
ANTIOQUIA,CAMPAMENTO
ANTIOQUIA,URAMITA
ANTIOQUIA,GUATAPÉ
ANTIOQUIA,LA PINTADA
ANTIOQUIA,EBÉJICO
ANTIOQUIA,MUTATÁ
ANTIOQUIA,VIGÍA DEL FUERTE
ANTIOQUIA,NECOCLÍ
ANTIOQUIA,PUERTO BERRÍO
ANTIOQUIA,HELICONIA
ANTIOQUIA,RETIRO
ANTIOQUIA,ABEJORRAL
ANTIOQUIA,BELMIRA
ANTIOQUIA,LA ESTRELLA
ANTIOQUIA,ENTRERRÍOS
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA
ANTIOQUIA,ARBOLETES
ANTIOQUIA,LIBORINA
ANTIOQUIA,YOLOMBÓ
ANTIOQUIA,SALGAR
ANTIOQUIA,MARINILLA
ANTIOQUIA,ANGELÓPOLIS
ANTIOQUIA,CAREPA
ANTIOQUIA,FRONTINO
ANTIOQUIA,SAN JUAN DE URABÁ
ANTIOQUIA,ABRIAQUÍ
ANTIOQUIA,URRAO
ANTIOQUIA,MACEO
ANTIOQUIA,TARAZÁ
ANTIOQUIA,CHIGORODÓ
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA
ANTIOQUIA,SOPETRÁN
ANTIOQUIA,MURINDÓ
ANTIOQUIA,YONDÓ
ANTIOQUIA,TURBO
ANTIOQUIA,VEGACHÍ
ANTIOQUIA,ANORÍ
ANTIOQUIA,CIUDAD BOLÍVAR
ANTIOQUIA,ALEJANDRÍA
ANTIOQUIA,HISPANIA
ANTIOQUIA,SANTA ROSA DE OSOS
ANTIOQUIA,DABEIBA
ARAUCA,FORTUL
ARAUCA,CRAVO NORTE
ARAUCA,SARAVENA
ARAUCA,ARAUCA
ARAUCA,ARAUQUITA
ARAUCA,PUERTO RONDÓN
ARAUCA,TAME
ATLANTICO,GALAPA
ATLANTICO,BARRANQUILLA
ATLANTICO,POLONUEVO
ATLANTICO,MANATÍ
ATLANTICO,SABANAGRANDE
ATLANTICO,SANTA LUCÍA
ATLANTICO,JUAN DE ACOSTA
ATLANTICO,PALMAR DE VARELA
ATLANTICO,USIACURÍ
ATLANTICO,TUBARÁ
ATLANTICO,SUAN
ATLANTICO,CAMPO DE LA CRUZ
ATLANTICO,MALAMBO
ATLANTICO,LURUACO
ATLANTICO,BARANOA
ATLANTICO,PIOJÓ
ATLANTICO,REPELÓN
ATLANTICO,PONEDERA
ATLANTICO,SANTO TOMÁS
ATLANTICO,PUERTO COLOMBIA
ATLANTICO,SOLEDAD
BOGOTÁ D.C.,BOGOTÁ D.C.
BOLIVAR,RÍO VIEJO
BOLIVAR,PINILLOS
BOLIVAR,CICUCO
BOLIVAR,SAN MARTÍN DE LOBA
BOLIVAR,NOROSÍ
BOLIVAR,MONTECRISTO
BOLIVAR,HATILLO DE LOBA
BOLIVAR,MAHATES
BOLIVAR,TIQUISIO
BOLIVAR,BARRANCO DE LOBA
BOLIVAR,ZAMBRANO
BOLIVAR,MOMPÓS
BOLIVAR,CANTAGALLO
BOLIVAR,REGIDOR
BOLIVAR,ARENAL
BOLIVAR,MAGANGUÉ
BOLIVAR,TURBANÁ
BOLIVAR,MARGARITA
BOLIVAR,SAN ESTANISLAO
BOLIVAR,SAN FERNANDO
BOLIVAR,SANTA CATALINA
BOLIVAR,ACHÍ
BOLIVAR,CARTAGENA DE INDIAS
BOLIVAR,EL CARMEN DE BOLÍVAR
BOLIVAR,ARJONA
BOLIVAR,EL GUAMO
BOLIVAR,TURBACO
